Tile RAmin RAmax DECmin DECmax
KIDS_334p4_m26p2 333.888888888 335 -26.7088 -25.7198
KIDS_335p6_m26p2 335 336.111111112 -26.7088 -25.7198
KIDS_336p7_m26p2 336.111111112 337.222222223 -26.7088 -25.7198
KIDS_337p8_m26p2 337.222222223 338.333333334 -26.7088 -25.7198
KIDS_338p9_m26p2 338.333333334 339.444444444 -26.7088 -25.7198
KIDS_340p0_m26p2 339.444444444 340.555555556 -26.7088 -25.7198
KIDS_341p1_m26p2 340.555555556 341.666666666 -26.7088 -25.7198
KIDS_342p2_m26p2 341.666666666 342.777777777 -26.7088 -25.7198
KIDS_343p3_m26p2 342.777777777 343.888888888 -26.7088 -25.7198
KIDS_344p4_m26p2 343.888888888 345 -26.7088 -25.7198
KIDS_345p6_m26p2 345 346.111111112 -26.7088 -25.7198
KIDS_346p7_m26p2 346.111111112 347.222222223 -26.7088 -25.7198
KIDS_347p8_m26p2 347.222222223 348.333333334 -26.7088 -25.7198
KIDS_348p9_m26p2 348.333333334 349.444444444 -26.7088 -25.7198
KIDS_350p0_m26p2 349.444444444 350.555555556 -26.7088 -25.7198
KIDS_351p1_m26p2 350.555555556 351.666666666 -26.7088 -25.7198
KIDS_352p2_m26p2 351.666666666 352.777777777 -26.7088 -25.7198
KIDS_353p3_m26p2 352.777777777 353.888888888 -26.7088 -25.7198
KIDS_354p4_m26p2 353.888888888 355 -26.7088 -25.7198
KIDS_355p6_m26p2 355 356.111111112 -26.7088 -25.7198
KIDS_356p7_m26p2 356.111111112 357.222222223 -26.7088 -25.7198
KIDS_357p8_m26p2 357.222222223 358.333333334 -26.7088 -25.7198
KIDS_358p9_m26p2 358.333333334 359.444678382 -26.7088 -25.7198
KIDS_0p0_m26p2 359.444678382 0.5555555555 -26.7088 -25.7198
KIDS_156p4_m4p5 155.92299411 156.935933148 -4.950535 -3.961535
KIDS_157p4_m4p5 156.935933148 157.938718663 -4.950535 -3.961535
KIDS_158p4_m4p5 157.938718663 158.941504178 -4.950535 -3.961535
KIDS_159p4_m4p5 158.941504178 159.944289693 -4.950535 -3.961535
KIDS_160p4_m4p5 159.944289693 160.947075209 -4.950535 -3.961535
KIDS_161p4_m4p5 160.947075209 161.949860725 -4.950535 -3.961535
KIDS_162p5_m4p5 161.949860725 162.952646239 -4.950535 -3.961535
KIDS_163p5_m4p5 162.952646239 163.955431755 -4.950535 -3.961535
KIDS_164p5_m4p5 163.955431755 164.958217271 -4.950535 -3.961535
KIDS_165p5_m4p5 164.958217271 165.961002785 -4.950535 -3.961535
KIDS_166p5_m4p5 165.961002785 166.9637883 -4.950535 -3.961535
KIDS_167p5_m4p5 166.9637883 167.966573816 -4.950535 -3.961535
KIDS_168p5_m4p5 167.966573816 168.969359332 -4.950535 -3.961535
KIDS_169p5_m4p5 168.969359332 169.972144846 -4.950535 -3.961535
KIDS_170p5_m4p5 169.972144846 170.974930362 -4.950535 -3.961535
KIDS_171p5_m4p5 170.974930362 171.977715878 -4.950535 -3.961535
KIDS_172p5_m4p5 171.977715878 172.980501393 -4.950535 -3.961535
KIDS_173p5_m4p5 172.980501393 173.983286908 -4.950535 -3.961535
KIDS_174p5_m4p5 173.983286908 174.986072423 -4.950535 -3.961535
KIDS_175p5_m4p5 174.986072423 175.988857938 -4.950535 -3.961535
KIDS_176p5_m4p5 175.988857938 176.991643454 -4.950535 -3.961535
KIDS_177p5_m4p5 176.991643454 177.99442897 -4.950535 -3.961535
KIDS_178p5_m4p5 177.99442897 178.997214485 -4.950535 -3.961535
KIDS_179p5_m4p5 178.997214485 180 -4.950535 -3.961535
KIDS_180p5_m4p5 180 181.002785515 -4.950535 -3.961535
KIDS_181p5_m4p5 181.002785515 182.00557103 -4.950535 -3.961535
KIDS_182p5_m4p5 182.00557103 183.008356546 -4.950535 -3.961535
KIDS_183p5_m4p5 183.008356546 184.011142062 -4.950535 -3.961535
KIDS_184p5_m4p5 184.011142062 185.013927577 -4.950535 -3.961535
KIDS_185p5_m4p5 185.013927577 186.016713092 -4.950535 -3.961535
KIDS_186p5_m4p5 186.016713092 187.019498607 -4.950535 -3.961535
